	trial_nr	stimulus_set	correct_stim_lr	cue_txt	p_win_left	p_win_right	p_win_correct	p_win_incorrect	fix_cross_1	cue	fix_cross_2	stimulus	fix_cross_3	highlight	fix_cross_4	feedback	iti_posttrial	total_duration	block	stim_left	stim_right	stim_high	stim_low	n_trs
41	41	2	0	ACC	0.6	0.4	0.6	0.4	0.5	1.0	0.5	1.5	1.5	0	0	1	2.28	8.28	1	x	f	x	f	6
42	42	1	0	ACC	0.7	0.3	0.7	0.3	1.0	1.0	0.5	1.5	1.0	0	0	1	2.28	8.28	1	g	D	g	D	6
43	43	1	0	SPD	0.7	0.3	0.7	0.3	0.5	1.0	0.5	1.5	1.0	0	0	1	2.78	8.28	1	g	D	g	D	6
44	44	2	0	SPD	0.6	0.4	0.6	0.4	1.0	1.0	0.5	1.5	0.5	0	0	1	2.78	8.28	1	x	f	x	f	6
45	45	2	0	SPD	0.6	0.4	0.6	0.4	1.5	1.0	0.5	1.5	1.0	0	0	1	1.78	8.28	1	x	f	x	f	6
46	46	1	1	ACC	0.3	0.7	0.7	0.3	1.0	1.0	1.0	1.5	2.0	0	0	1	0.78	8.28	1	D	g	g	D	6
47	47	1	1	ACC	0.3	0.7	0.7	0.3	0.5	1.0	0.5	1.5	1.5	0	0	1	2.28	8.28	1	D	g	g	D	6
48	48	0	0	SPD	0.8	0.2	0.8	0.2	1.5	1.0	1.0	1.5	0.5	0	0	1	1.78	8.28	1	c	C	c	C	6
49	49	2	0	ACC	0.6	0.4	0.6	0.4	1.7799999999999994	1.0	1.5	1.5	1.5	0	0	1	0.0	8.28	1	x	f	x	f	6
50	50	0	1	ACC	0.2	0.8	0.8	0.2	1.0	1.0	1.0	1.5	0.5	0	0	1	2.28	8.28	1	C	c	c	C	6
51	51	0	1	ACC	0.2	0.8	0.8	0.2	1.5	1.0	0.5	1.5	1.0	0	0	1	1.78	8.28	1	C	c	c	C	6
52	52	2	0	ACC	0.6	0.4	0.6	0.4	0.5	1.0	0.5	1.5	0.5	0	0	1	3.28	8.28	1	x	f	x	f	6
53	53	2	0	SPD	0.6	0.4	0.6	0.4	1.0	1.0	0.5	1.5	0.5	0	0	1	2.78	8.28	1	x	f	x	f	6
54	54	1	0	SPD	0.7	0.3	0.7	0.3	1.0	1.0	1.0	1.5	0.5	0	0	1	2.28	8.28	1	g	D	g	D	6
55	55	2	1	ACC	0.4	0.6	0.6	0.4	1.5	1.0	1.0	1.5	0.5	0	0	1	8.68	15.18	1	f	x	x	f	11
56	56	1	1	SPD	0.3	0.7	0.7	0.3	0.5	1.0	0.5	1.5	0.5	0	0	1	3.28	8.28	1	D	g	g	D	6
57	57	1	0	ACC	0.7	0.3	0.7	0.3	0.5	1.0	1.0	1.5	1.5	0	0	1	1.78	8.28	1	g	D	g	D	6
58	58	0	0	ACC	0.8	0.2	0.8	0.2	1.0	1.0	0.5	1.5	0.5	0	0	1	2.78	8.28	1	c	C	c	C	6
59	59	1	0	ACC	0.7	0.3	0.7	0.3	1.0	1.0	1.5	1.5	1.5	0	0	1	0.78	8.28	1	g	D	g	D	6
60	60	0	0	SPD	0.8	0.2	0.8	0.2	1.0	1.0	2.0	1.5	0.5	0	0	1	1.28	8.28	1	c	C	c	C	6
61	61	0	0	SPD	0.8	0.2	0.8	0.2	1.0	1.0	0.5	1.5	1.0	0	0	1	2.28	8.28	1	c	C	c	C	6
62	62	2	1	SPD	0.4	0.6	0.6	0.4	0.5	1.0	0.5	1.5	0.5	0	0	1	3.28	8.28	1	f	x	x	f	6
63	63	0	1	SPD	0.2	0.8	0.8	0.2	0.5	1.0	0.5	1.5	0.5	0	0	1	3.28	8.28	1	C	c	c	C	6
64	64	0	0	ACC	0.8	0.2	0.8	0.2	0.5	1.0	0.5	1.5	0.5	0	0	1	3.28	8.28	1	c	C	c	C	6
65	65	2	1	SPD	0.4	0.6	0.6	0.4	0.5	1.0	1.5	1.5	0.5	0	0	1	2.28	8.28	1	f	x	x	f	6
66	66	0	0	ACC	0.8	0.2	0.8	0.2	0.5	1.0	0.5	1.5	1.0	0	0	1	2.78	8.28	1	c	C	c	C	6
67	67	1	0	ACC	0.7	0.3	0.7	0.3	0.5	1.0	1.0	1.5	1.0	0	0	1	2.28	8.28	1	g	D	g	D	6
68	68	1	1	ACC	0.3	0.7	0.7	0.3	1.0	1.0	0.5	1.5	0.5	0	0	1	2.78	8.28	1	D	g	g	D	6
69	69	0	1	ACC	0.2	0.8	0.8	0.2	0.5	1.0	1.0	1.5	0.5	0	0	1	2.78	8.28	1	C	c	c	C	6
70	70	1	0	SPD	0.7	0.3	0.7	0.3	1.0	1.0	1.0	1.5	1.0	0	0	1	8.68	15.18	1	g	D	g	D	11
71	71	2	1	SPD	0.4	0.6	0.6	0.4	2.0	1.0	0.5	1.5	0.5	0	0	1	1.78	8.28	1	f	x	x	f	6
72	72	2	1	SPD	0.4	0.6	0.6	0.4	0.5	1.0	0.5	1.5	1.0	0	0	1	2.78	8.28	1	f	x	x	f	6
73	73	0	0	ACC	0.8	0.2	0.8	0.2	0.5	1.0	1.0	1.5	0.5	0	0	1	2.78	8.28	1	c	C	c	C	6
74	74	2	0	SPD	0.6	0.4	0.6	0.4	1.0	1.0	0.5	1.5	0.5	0	0	1	2.78	8.28	1	x	f	x	f	6
75	75	2	1	ACC	0.4	0.6	0.6	0.4	0.5	1.0	0.5	1.5	0.5	0	0	1	3.28	8.28	1	f	x	x	f	6
76	76	1	1	SPD	0.3	0.7	0.7	0.3	0.5	1.0	0.5	1.5	0.5	0	0	1	3.28	8.28	1	D	g	g	D	6
77	77	2	1	SPD	0.4	0.6	0.6	0.4	0.5	1.0	1.0	1.5	1.5	0	0	1	1.78	8.28	1	f	x	x	f	6
78	78	2	0	ACC	0.6	0.4	0.6	0.4	0.5	1.0	2.0	1.5	0.5	0	0	1	8.68	15.18	1	x	f	x	f	11
79	79	0	1	ACC	0.2	0.8	0.8	0.2	0.5	1.0	1.0	1.5	1.0	0	0	1	2.28	8.28	1	C	c	c	C	6
80	80	2	0	SPD	0.6	0.4	0.6	0.4	0.5	1.0	1.5	1.5	0.5	0	0	1	2.28	8.28	1	x	f	x	f	6
81	81	1	0	ACC	0.7	0.3	0.7	0.3	1.5	1.0	0.5	1.5	1.0	0	0	1	1.78	8.28	1	g	D	g	D	6
82	82	0	1	SPD	0.2	0.8	0.8	0.2	0.5	1.0	1.5	1.5	0.5	0	0	1	2.28	8.28	1	C	c	c	C	6
83	83	1	0	SPD	0.7	0.3	0.7	0.3	0.5	1.0	1.0	1.5	2.0	0	0	1	1.28	8.28	1	g	D	g	D	6
84	84	2	1	ACC	0.4	0.6	0.6	0.4	1.5	1.0	0.5	1.5	0.5	0	0	1	2.28	8.28	1	f	x	x	f	6
85	85	1	0	SPD	0.7	0.3	0.7	0.3	0.5	1.0	0.5	1.5	1.0	0	0	1	2.78	8.28	1	g	D	g	D	6
86	86	0	0	SPD	0.8	0.2	0.8	0.2	0.5	1.0	0.5	1.5	1.5	0	0	1	9.18	15.18	1	c	C	c	C	11
87	87	1	1	ACC	0.3	0.7	0.7	0.3	2.0	1.0	1.0	1.5	0.5	0	0	1	1.28	8.28	1	D	g	g	D	6
88	88	0	1	ACC	0.2	0.8	0.8	0.2	0.5	1.0	1.0	1.5	1.5	0	0	1	1.78	8.28	1	C	c	c	C	6
89	89	1	1	ACC	0.3	0.7	0.7	0.3	0.5	1.0	0.5	1.5	0.5	0	0	1	3.28	8.28	1	D	g	g	D	6
