	trial_nr	stimulus_set	correct_stim_lr	cue_txt	p_win_left	p_win_right	p_win_correct	p_win_incorrect	fix_cross_1	cue	fix_cross_2	stimulus	fix_cross_3	highlight	fix_cross_4	feedback	iti_posttrial	total_duration	block	n_trs	stim_left	stim_right	stim_high	stim_low
0	0	2	0	SPD	0.6	0.4	0.6	0.4	5.14	1.0	2.0	1.5	0.5	0	0	1	1.28	12.419999999999998	1	9	C	c	C	c
1	1	0	1	SPD	0.2	0.8	0.8	0.2	0.5	1.0	1.0	1.5	1.0	0	0	1	2.28	8.28	1	6	g	D	D	g
2	2	2	1	SPD	0.4	0.6	0.6	0.4	0.5	1.0	1.0	1.5	0.5	0	0	1	2.78	8.28	1	6	c	C	C	c
3	3	0	0	SPD	0.8	0.2	0.8	0.2	0.5	1.0	0.5	1.5	1.5	0	0	1	2.28	8.28	1	6	D	g	D	g
4	4	0	0	ACC	0.8	0.2	0.8	0.2	0.5	1.0	1.5	1.5	2.0	0	0	1	0.78	8.28	1	6	D	g	D	g
5	5	1	0	ACC	0.7	0.3	0.7	0.3	1.0	1.0	0.5	1.5	0.5	0	0	1	2.78	8.28	1	6	f	x	f	x
6	6	2	1	SPD	0.4	0.6	0.6	0.4	0.5	1.0	1.0	1.5	1.0	0	0	1	2.28	8.28	1	6	c	C	C	c
7	7	2	0	SPD	0.6	0.4	0.6	0.4	1.0	1.0	0.5	1.5	1.0	0	0	1	2.28	8.28	1	6	C	c	C	c
8	8	1	1	ACC	0.3	0.7	0.7	0.3	1.0	1.0	0.5	1.5	2.0	0	0	1	9.559999999999999	16.56	1	12	x	f	f	x
9	9	1	1	ACC	0.3	0.7	0.7	0.3	1.0	1.0	0.5	1.5	2.0	0	0	1	1.28	8.28	1	6	x	f	f	x
10	10	2	0	SPD	0.6	0.4	0.6	0.4	1.0	1.0	0.5	1.5	0.5	0	0	1	2.78	8.28	1	6	C	c	C	c
11	11	0	1	SPD	0.2	0.8	0.8	0.2	1.5	1.0	0.5	1.5	0.5	0	0	1	2.28	8.28	1	6	g	D	D	g
12	12	1	0	SPD	0.7	0.3	0.7	0.3	1.0	1.0	1.0	1.5	0.5	0	0	1	2.28	8.28	1	6	f	x	f	x
13	13	1	1	SPD	0.3	0.7	0.7	0.3	1.0	1.0	1.0	1.5	0.5	0	0	1	2.28	8.28	1	6	x	f	f	x
14	14	2	0	ACC	0.6	0.4	0.6	0.4	1.5	1.0	0.5	1.5	1.5	0	0	1	1.28	8.28	1	6	C	c	C	c
15	15	2	0	SPD	0.6	0.4	0.6	0.4	0.5	1.0	1.5	1.5	1.0	0	0	1	1.78	8.28	1	6	C	c	C	c
16	16	0	1	ACC	0.2	0.8	0.8	0.2	0.5	1.0	1.0	1.5	1.5	0	0	1	1.78	8.28	1	6	g	D	D	g
17	17	0	1	SPD	0.2	0.8	0.8	0.2	0.5	1.0	2.0	1.5	1.0	0	0	1	1.28	8.28	1	6	g	D	D	g
18	18	2	0	SPD	0.6	0.4	0.6	0.4	1.0	1.0	1.5	1.5	0.5	0	0	1	10.059999999999999	16.56	1	12	C	c	C	c
19	19	2	1	SPD	0.4	0.6	0.6	0.4	0.5	1.0	0.5	1.5	0.5	0	0	1	3.28	8.28	1	6	c	C	C	c
20	20	0	1	ACC	0.2	0.8	0.8	0.2	0.5	1.0	1.5	1.5	1.0	0	0	1	1.78	8.28	1	6	g	D	D	g
21	21	0	1	SPD	0.2	0.8	0.8	0.2	1.0	1.0	1.0	1.5	0.5	0	0	1	2.28	8.28	1	6	g	D	D	g
22	22	2	1	SPD	0.4	0.6	0.6	0.4	1.0	1.0	0.5	1.5	0.5	0	0	1	2.78	8.28	1	6	c	C	C	c
23	23	0	1	ACC	0.2	0.8	0.8	0.2	0.5	1.0	1.0	1.5	1.0	0	0	1	2.28	8.28	1	6	g	D	D	g
24	24	2	1	SPD	0.4	0.6	0.6	0.4	1.5	1.0	2.0	1.5	0.5	0	0	1	0.78	8.28	1	6	c	C	C	c
25	25	1	1	ACC	0.3	0.7	0.7	0.3	0.5	1.0	0.5	1.5	1.0	0	0	1	2.78	8.28	1	6	x	f	f	x
26	26	1	0	SPD	0.7	0.3	0.7	0.3	0.5	1.0	1.5	1.5	1.0	0	0	1	1.78	8.28	1	6	f	x	f	x
27	27	2	0	ACC	0.6	0.4	0.6	0.4	1.0	1.0	0.5	1.5	2.0	0	0	1	1.28	8.28	1	6	C	c	C	c
28	28	0	1	SPD	0.2	0.8	0.8	0.2	0.5	1.0	1.5	1.5	0.5	0	0	1	2.28	8.28	1	6	g	D	D	g
29	29	2	1	SPD	0.4	0.6	0.6	0.4	1.0	1.0	1.0	1.5	1.0	0	0	1	10.059999999999999	16.56	1	12	c	C	C	c
30	30	2	0	ACC	0.6	0.4	0.6	0.4	1.0	1.0	0.5	1.5	0.5	0	0	1	2.78	8.28	1	6	C	c	C	c
31	31	1	0	SPD	0.7	0.3	0.7	0.3	1.0	1.0	1.5	1.5	0.5	0	0	1	1.78	8.28	1	6	f	x	f	x
32	32	1	1	SPD	0.3	0.7	0.7	0.3	0.5	1.0	0.5	1.5	0.5	0	0	1	3.28	8.28	1	6	x	f	f	x
33	33	0	0	ACC	0.8	0.2	0.8	0.2	1.0	1.0	1.0	1.5	0.5	0	0	1	2.28	8.28	1	6	D	g	D	g
34	34	1	1	ACC	0.3	0.7	0.7	0.3	1.0	1.0	0.5	1.5	1.0	0	0	1	2.28	8.28	1	6	x	f	f	x
35	35	0	0	SPD	0.8	0.2	0.8	0.2	0.5	1.0	1.0	1.5	1.5	0	0	1	1.78	8.28	1	6	D	g	D	g
36	36	0	1	ACC	0.2	0.8	0.8	0.2	0.5	1.0	1.0	1.5	0.5	0	0	1	2.78	8.28	1	6	g	D	D	g
37	37	2	1	SPD	0.4	0.6	0.6	0.4	1.5	1.0	1.0	1.5	0.5	0	0	1	10.059999999999999	16.56	1	12	c	C	C	c
38	38	1	1	SPD	0.3	0.7	0.7	0.3	0.5	1.0	0.5	1.5	0.5	0	0	1	3.28	8.28	1	6	x	f	f	x
39	39	0	0	ACC	0.8	0.2	0.8	0.2	2.0	1.0	0.5	1.5	1.0	0	0	1	1.28	8.28	1	6	D	g	D	g
40	40	0	1	ACC	0.2	0.8	0.8	0.2	0.5	1.0	1.5	1.5	1.5	0	0	1	1.28	8.28	1	6	g	D	D	g
41	41	1	0	ACC	0.7	0.3	0.7	0.3	1.0	1.0	1.0	1.5	0.5	0	0	1	2.28	8.28	1	6	f	x	f	x
42	42	0	0	ACC	0.8	0.2	0.8	0.2	0.5	1.0	1.5	1.5	0.5	0	0	1	2.28	8.28	1	6	D	g	D	g
43	43	1	1	SPD	0.3	0.7	0.7	0.3	0.5	1.0	0.5	1.5	1.0	0	0	1	2.78	8.28	1	6	x	f	f	x
44	44	1	0	ACC	0.7	0.3	0.7	0.3	1.5	1.0	0.5	1.5	0.5	0	0	1	2.28	8.28	1	6	f	x	f	x
45	45	0	0	ACC	0.8	0.2	0.8	0.2	0.5	1.0	1.5	1.5	1.0	0	0	1	1.78	8.28	1	6	D	g	D	g
46	46	0	0	ACC	0.8	0.2	0.8	0.2	1.0	1.0	1.0	1.5	2.0	0	0	1	0.78	8.28	1	6	D	g	D	g
47	47	2	1	ACC	0.4	0.6	0.6	0.4	1.5	1.0	2.0	1.5	0.5	0	0	1	0.78	8.28	1	6	c	C	C	c
48	48	0	1	SPD	0.2	0.8	0.8	0.2	1.0	1.0	2.0	1.5	1.0	0	0	1	9.059999999999999	16.56	1	12	g	D	D	g
49	49	2	0	ACC	0.6	0.4	0.6	0.4	0.5	1.0	1.0	1.5	1.0	0	0	1	2.28	8.28	1	6	C	c	C	c
50	50	1	0	ACC	0.7	0.3	0.7	0.3	0.5	1.0	1.5	1.5	1.0	0	0	1	1.78	8.28	1	6	f	x	f	x
51	51	0	0	ACC	0.8	0.2	0.8	0.2	0.5	1.0	0.5	1.5	0.5	0	0	1	3.28	8.28	1	6	D	g	D	g
52	52	1	1	SPD	0.3	0.7	0.7	0.3	0.5	1.0	0.5	1.5	1.0	0	0	1	2.78	8.28	1	6	x	f	f	x
53	53	1	0	SPD	0.7	0.3	0.7	0.3	1.0	1.0	0.5	1.5	0.5	0	0	1	2.78	8.28	1	6	f	x	f	x
54	54	2	1	ACC	0.4	0.6	0.6	0.4	1.0	1.0	1.5	1.5	0.5	0	0	1	1.78	8.28	1	6	c	C	C	c
55	55	0	1	SPD	0.2	0.8	0.8	0.2	0.5	1.0	1.0	1.5	1.5	0	0	1	1.78	8.28	1	6	g	D	D	g
56	56	0	0	SPD	0.8	0.2	0.8	0.2	0.5	1.0	0.5	1.5	1.0	0	0	1	2.78	8.28	1	6	D	g	D	g
57	57	1	1	ACC	0.3	0.7	0.7	0.3	0.5	1.0	0.5	1.5	0.5	0	0	1	11.559999999999999	16.56	1	12	x	f	f	x
58	58	1	0	ACC	0.7	0.3	0.7	0.3	0.5	1.0	0.5	1.5	1.0	0	0	1	2.78	8.28	1	6	f	x	f	x
59	59	0	1	ACC	0.2	0.8	0.8	0.2	2.0	1.0	2.0	1.5	0.5	0	0	1	0.28	8.28	1	6	g	D	D	g
60	60	2	1	SPD	0.4	0.6	0.6	0.4	1.0	1.0	1.0	1.5	0.5	0	0	1	2.28	8.28	1	6	c	C	C	c
61	61	1	0	SPD	0.7	0.3	0.7	0.3	1.5	1.0	1.0	1.5	0.5	0	0	1	1.78	8.28	1	6	f	x	f	x
62	62	0	1	ACC	0.2	0.8	0.8	0.2	0.5	1.0	1.5	1.5	0.5	0	0	1	2.28	8.28	1	6	g	D	D	g
63	63	2	1	ACC	0.4	0.6	0.6	0.4	0.5	1.0	1.5	1.5	1.5	0	0	1	1.28	8.28	1	6	c	C	C	c
64	64	2	1	SPD	0.4	0.6	0.6	0.4	0.5	1.0	0.5	1.5	2.0	0	0	1	1.78	8.28	1	6	c	C	C	c
65	65	0	0	SPD	0.8	0.2	0.8	0.2	1.0	1.0	0.5	1.5	0.5	0	0	1	11.059999999999999	16.56	1	12	D	g	D	g
66	66	2	1	SPD	0.4	0.6	0.6	0.4	1.0	1.0	1.5	1.5	2.0	0	0	1	0.28	8.28	1	6	c	C	C	c
67	67	1	1	ACC	0.3	0.7	0.7	0.3	0.5	1.0	0.5	1.5	0.5	0	0	1	3.28	8.28	1	6	x	f	f	x
68	68	0	0	ACC	0.8	0.2	0.8	0.2	1.0	1.0	0.5	1.5	1.0	0	0	1	2.28	8.28	1	6	D	g	D	g
69	69	2	1	ACC	0.4	0.6	0.6	0.4	1.5	1.0	1.0	1.5	1.5	0	0	1	0.78	8.28	1	6	c	C	C	c
70	70	2	0	ACC	0.6	0.4	0.6	0.4	1.0	1.0	1.5	1.5	0.5	0	0	1	1.78	8.28	1	6	C	c	C	c
71	71	0	0	SPD	0.8	0.2	0.8	0.2	1.5	1.0	1.5	1.5	1.5	0	0	1	0.28	8.28	1	6	D	g	D	g
72	72	1	0	SPD	0.7	0.3	0.7	0.3	0.5	1.0	1.0	1.5	1.5	0	0	1	1.78	8.28	1	6	f	x	f	x
73	73	2	0	ACC	0.6	0.4	0.6	0.4	1.5	1.0	1.7799999999999994	1.5	1.5	0	0	1	0.0	8.28	1	6	C	c	C	c
74	74	1	0	SPD	0.7	0.3	0.7	0.3	0.5	1.0	1.0	1.5	0.5	0	0	1	11.059999999999999	16.56	1	12	f	x	f	x
75	75	1	1	ACC	0.3	0.7	0.7	0.3	2.0	1.0	0.5	1.5	0.5	0	0	1	1.78	8.28	1	6	x	f	f	x
76	76	0	1	SPD	0.2	0.8	0.8	0.2	0.5	1.0	1.5	1.5	0.5	0	0	1	2.28	8.28	1	6	g	D	D	g
77	77	1	1	ACC	0.3	0.7	0.7	0.3	1.0	1.0	1.0	1.5	0.5	0	0	1	2.28	8.28	1	6	x	f	f	x
78	78	2	0	SPD	0.6	0.4	0.6	0.4	0.5	1.0	1.5	1.5	2.0	0	0	1	0.78	8.28	1	6	C	c	C	c
79	79	2	1	ACC	0.4	0.6	0.6	0.4	0.5	1.0	0.5	1.5	0.5	0	0	1	3.28	8.28	1	6	c	C	C	c
80	80	1	1	ACC	0.3	0.7	0.7	0.3	0.5	1.0	1.0	1.5	1.5	0	0	1	1.78	8.28	1	6	x	f	f	x
81	81	0	0	ACC	0.8	0.2	0.8	0.2	1.0	1.0	1.0	1.5	1.0	0	0	1	1.78	8.28	1	6	D	g	D	g
82	82	1	0	SPD	0.7	0.3	0.7	0.3	0.5	1.0	1.0	1.5	0.5	0	0	1	2.78	8.28	1	6	f	x	f	x
83	83	0	0	SPD	0.8	0.2	0.8	0.2	0.5	1.0	2.0	1.5	0.5	0	0	1	1.78	8.28	1	6	D	g	D	g
84	84	0	1	SPD	0.2	0.8	0.8	0.2	0.5	1.0	0.5	1.5	1.0	0	0	1	2.78	8.28	1	6	g	D	D	g
85	85	1	0	ACC	0.7	0.3	0.7	0.3	1.0	1.0	0.5	1.5	2.0	0	0	1	9.559999999999999	16.56	1	12	f	x	f	x
86	86	0	0	SPD	0.8	0.2	0.8	0.2	0.5	1.0	0.5	1.5	1.0	0	0	1	2.78	8.28	1	6	D	g	D	g
87	87	0	1	ACC	0.2	0.8	0.8	0.2	2.0	1.0	0.5	1.5	1.5	0	0	1	0.78	8.28	1	6	g	D	D	g
88	88	2	1	ACC	0.4	0.6	0.6	0.4	0.5	1.0	0.5	1.5	1.0	0	0	1	2.78	8.28	1	6	c	C	C	c
89	89	2	1	ACC	0.4	0.6	0.6	0.4	0.5	1.0	0.5	1.5	0.5	0	0	1	3.28	8.28	1	6	c	C	C	c
90	90	1	0	SPD	0.7	0.3	0.7	0.3	1.0	1.0	0.5	1.5	0.5	0	0	1	2.78	8.28	1	6	f	x	f	x
91	91	0	1	ACC	0.2	0.8	0.8	0.2	0.5	1.0	0.5	1.5	0.5	0	0	1	3.28	8.28	1	6	g	D	D	g
92	92	2	0	ACC	0.6	0.4	0.6	0.4	0.5	1.0	1.5	1.5	0.5	0	0	1	2.28	8.28	1	6	C	c	C	c
93	93	2	0	SPD	0.6	0.4	0.6	0.4	0.5	1.0	1.0	1.5	0.5	0	0	1	2.78	8.28	1	6	C	c	C	c
94	94	0	1	SPD	0.2	0.8	0.8	0.2	1.0	1.0	1.0	1.5	1.0	0	0	1	1.78	8.28	1	6	g	D	D	g
95	95	0	0	SPD	0.8	0.2	0.8	0.2	1.0	1.0	1.0	1.5	1.0	0	0	1	1.78	8.28	1	6	D	g	D	g
96	96	1	1	SPD	0.3	0.7	0.7	0.3	2.0	1.0	0.5	1.5	0.5	0	0	1	10.059999999999999	16.56	1	12	x	f	f	x
97	97	2	1	ACC	0.4	0.6	0.6	0.4	0.5	1.0	1.0	1.5	0.5	0	0	1	2.78	8.28	1	6	c	C	C	c
98	98	0	0	SPD	0.8	0.2	0.8	0.2	0.5	1.0	1.5	1.5	2.0	0	0	1	0.78	8.28	1	6	D	g	D	g
99	99	1	0	SPD	0.7	0.3	0.7	0.3	1.5	1.0	1.5	1.5	1.0	0	0	1	0.78	8.28	1	6	f	x	f	x
100	100	1	1	SPD	0.3	0.7	0.7	0.3	1.0	1.0	0.5	1.5	1.0	0	0	1	2.28	8.28	1	6	x	f	f	x
101	101	2	1	ACC	0.4	0.6	0.6	0.4	1.0	1.0	0.5	1.5	1.5	0	0	1	1.78	8.28	1	6	c	C	C	c
102	102	2	0	ACC	0.6	0.4	0.6	0.4	1.0	1.0	1.0	1.5	0.5	0	0	1	2.28	8.28	1	6	C	c	C	c
103	103	1	0	ACC	0.7	0.3	0.7	0.3	1.0	1.0	1.0	1.5	0.5	0	0	1	2.28	8.28	1	6	f	x	f	x
104	104	0	0	ACC	0.8	0.2	0.8	0.2	2.0	1.0	1.0	1.5	0.5	0	0	1	1.28	8.28	1	6	D	g	D	g
105	105	1	1	SPD	0.3	0.7	0.7	0.3	1.0	1.0	1.0	1.5	0.5	0	0	1	10.559999999999999	16.56	1	12	x	f	f	x
106	106	2	0	ACC	0.6	0.4	0.6	0.4	0.5	1.0	0.5	1.5	2.0	0	0	1	1.78	8.28	1	6	C	c	C	c
107	107	2	1	ACC	0.4	0.6	0.6	0.4	0.5	1.0	0.5	1.5	1.5	0	0	1	2.28	8.28	1	6	c	C	C	c
108	108	1	0	ACC	0.7	0.3	0.7	0.3	1.0	1.0	1.5	1.5	1.0	0	0	1	1.28	8.28	1	6	f	x	f	x
109	109	1	1	SPD	0.3	0.7	0.7	0.3	0.5	1.0	0.5	1.5	0.5	0	0	1	3.28	8.28	1	6	x	f	f	x
110	110	0	1	ACC	0.2	0.8	0.8	0.2	1.0	1.0	0.5	1.5	0.5	0	0	1	2.78	8.28	1	6	g	D	D	g
111	111	2	0	ACC	0.6	0.4	0.6	0.4	1.0	1.0	0.5	1.5	1.5	0	0	1	1.78	8.28	1	6	C	c	C	c
112	112	2	0	SPD	0.6	0.4	0.6	0.4	1.5	1.0	2.0	1.5	0.5	0	0	1	0.78	8.28	1	6	C	c	C	c
113	113	1	1	SPD	0.3	0.7	0.7	0.3	1.5	1.0	1.7799999999999994	1.5	1.5	0	0	1	0.0	8.28	1	6	x	f	f	x
0	0	5	1	SPD	0.4	0.6	0.6	0.4	5.14	1.0	1.0	1.5	1.0	0	0	1	1.78	12.419999999999998	2	9	N	j	j	N
1	1	3	1	SPD	0.2	0.8	0.8	0.2	0.5	1.0	2.0	1.5	1.0	0	0	1	1.28	8.28	2	6	J	Q	Q	J
2	2	3	1	SPD	0.2	0.8	0.8	0.2	0.5	1.0	0.5	1.5	0.5	0	0	1	3.28	8.28	2	6	J	Q	Q	J
3	3	4	0	ACC	0.7	0.3	0.7	0.3	1.5	1.0	0.5	1.5	1.5	0	0	1	1.28	8.28	2	6	m	M	m	M
4	4	4	0	SPD	0.7	0.3	0.7	0.3	1.0	1.0	0.5	1.5	0.5	0	0	1	2.78	8.28	2	6	m	M	m	M
5	5	5	1	ACC	0.4	0.6	0.6	0.4	0.5	1.0	0.5	1.5	1.5	0	0	1	2.28	8.28	2	6	N	j	j	N
6	6	3	1	SPD	0.2	0.8	0.8	0.2	1.0	1.0	1.5	1.5	0.5	0	0	1	1.78	8.28	2	6	J	Q	Q	J
7	7	5	0	ACC	0.6	0.4	0.6	0.4	1.0	1.0	0.5	1.5	1.5	0	0	1	1.78	8.28	2	6	j	N	j	N
8	8	5	0	SPD	0.6	0.4	0.6	0.4	0.5	1.0	1.0	1.5	1.5	0	0	1	10.059999999999999	16.56	2	12	j	N	j	N
9	9	4	1	SPD	0.3	0.7	0.7	0.3	0.5	1.0	1.0	1.5	1.0	0	0	1	2.28	8.28	2	6	M	m	m	M
10	10	3	0	SPD	0.8	0.2	0.8	0.2	1.0	1.0	2.0	1.5	0.5	0	0	1	1.28	8.28	2	6	Q	J	Q	J
11	11	5	0	ACC	0.6	0.4	0.6	0.4	2.0	1.0	0.5	1.5	0.5	0	0	1	1.78	8.28	2	6	j	N	j	N
12	12	3	0	SPD	0.8	0.2	0.8	0.2	0.5	1.0	2.0	1.5	2.0	0	0	1	0.28	8.28	2	6	Q	J	Q	J
13	13	4	1	SPD	0.3	0.7	0.7	0.3	1.5	1.0	1.5	1.5	1.5	0	0	1	0.28	8.28	2	6	M	m	m	M
14	14	5	1	SPD	0.4	0.6	0.6	0.4	0.5	1.0	0.5	1.5	0.5	0	0	1	3.28	8.28	2	6	N	j	j	N
15	15	4	1	SPD	0.3	0.7	0.7	0.3	0.5	1.0	1.0	1.5	0.5	0	0	1	2.78	8.28	2	6	M	m	m	M
16	16	4	1	ACC	0.3	0.7	0.7	0.3	0.5	1.0	1.5	1.5	1.0	0	0	1	1.78	8.28	2	6	M	m	m	M
17	17	3	0	ACC	0.8	0.2	0.8	0.2	1.0	1.0	1.0	1.5	0.5	0	0	1	2.28	8.28	2	6	Q	J	Q	J
18	18	3	1	ACC	0.2	0.8	0.8	0.2	1.0	1.0	0.5	1.5	1.0	0	0	1	2.28	8.28	2	6	J	Q	Q	J
19	19	4	0	ACC	0.7	0.3	0.7	0.3	0.5	1.0	0.5	1.5	1.0	0	0	1	2.78	8.28	2	6	m	M	m	M
20	20	3	0	SPD	0.8	0.2	0.8	0.2	0.5	1.0	0.5	1.5	1.5	0	0	1	10.559999999999999	16.56	2	12	Q	J	Q	J
21	21	5	1	ACC	0.4	0.6	0.6	0.4	0.5	1.0	1.5	1.5	0.5	0	0	1	2.28	8.28	2	6	N	j	j	N
22	22	3	0	ACC	0.8	0.2	0.8	0.2	1.0	1.0	0.5	1.5	0.5	0	0	1	2.78	8.28	2	6	Q	J	Q	J
23	23	5	0	ACC	0.6	0.4	0.6	0.4	2.0	1.0	0.5	1.5	0.5	0	0	1	1.78	8.28	2	6	j	N	j	N
24	24	3	1	SPD	0.2	0.8	0.8	0.2	0.5	1.0	1.5	1.5	0.5	0	0	1	2.28	8.28	2	6	J	Q	Q	J
25	25	4	1	ACC	0.3	0.7	0.7	0.3	1.0	1.0	0.5	1.5	0.5	0	0	1	2.78	8.28	2	6	M	m	m	M
26	26	3	1	ACC	0.2	0.8	0.8	0.2	1.5	1.0	0.5	1.5	1.0	0	0	1	1.78	8.28	2	6	J	Q	Q	J
