	trial_nr	stimulus_set	correct_stim_lr	cue_txt	p_win_left	p_win_right	p_win_correct	p_win_incorrect	fix_cross_1	cue	fix_cross_2	stimulus	fix_cross_3	highlight	fix_cross_4	feedback	iti_posttrial	total_duration	block	n_trs	stim_left	stim_right	stim_high	stim_low
0	0	1	1	ACC	0.3	0.7	0.7	0.3	5.14	1.0	1.5	1.5	0.5	0	0	1	1.78	12.419999999999998	1	9	D	g	g	D
1	1	0	0	ACC	0.8	0.2	0.8	0.2	0.5	1.0	1.5	1.5	1.0	0	0	1	1.78	8.28	1	6	c	C	c	C
2	2	1	0	ACC	0.7	0.3	0.7	0.3	0.5	1.0	0.5	1.5	1.0	0	0	1	2.78	8.28	1	6	g	D	g	D
3	3	1	0	ACC	0.7	0.3	0.7	0.3	1.5	1.0	1.5	1.5	1.0	0	0	1	0.78	8.28	1	6	g	D	g	D
4	4	2	0	ACC	0.6	0.4	0.6	0.4	0.5	1.0	0.5	1.5	1.5	0	0	1	2.28	8.28	1	6	x	f	x	f
5	5	1	0	SPD	0.7	0.3	0.7	0.3	0.5	1.0	1.0	1.5	1.5	0	0	1	1.78	8.28	1	6	g	D	g	D
6	6	2	1	ACC	0.4	0.6	0.6	0.4	0.5	1.0	0.5	1.5	1.0	0	0	1	2.78	8.28	1	6	f	x	x	f
7	7	0	1	SPD	0.2	0.8	0.8	0.2	1.0	1.0	1.0	1.5	0.5	0	0	1	2.28	8.28	1	6	C	c	c	C
8	8	1	0	ACC	0.7	0.3	0.7	0.3	1.5	1.0	0.5	1.5	1.0	0	0	1	10.059999999999999	16.56	1	12	g	D	g	D
9	9	1	1	ACC	0.3	0.7	0.7	0.3	2.0	1.0	0.5	1.5	0.5	0	0	1	1.78	8.28	1	6	D	g	g	D
10	10	0	0	ACC	0.8	0.2	0.8	0.2	0.5	1.0	1.5	1.5	1.0	0	0	1	1.78	8.28	1	6	c	C	c	C
11	11	1	0	ACC	0.7	0.3	0.7	0.3	0.5	1.0	1.0	1.5	0.5	0	0	1	2.78	8.28	1	6	g	D	g	D
12	12	2	0	SPD	0.6	0.4	0.6	0.4	1.0	1.0	1.5	1.5	1.5	0	0	1	0.78	8.28	1	6	x	f	x	f
13	13	0	0	ACC	0.8	0.2	0.8	0.2	0.5	1.0	1.5	1.5	1.0	0	0	1	1.78	8.28	1	6	c	C	c	C
14	14	2	0	ACC	0.6	0.4	0.6	0.4	1.0	1.0	0.5	1.5	0.5	0	0	1	2.78	8.28	1	6	x	f	x	f
15	15	2	1	ACC	0.4	0.6	0.6	0.4	0.5	1.0	0.5	1.5	0.5	0	0	1	3.28	8.28	1	6	f	x	x	f
16	16	1	1	ACC	0.3	0.7	0.7	0.3	1.0	1.0	0.5	1.5	2.0	0	0	1	1.28	8.28	1	6	D	g	g	D
17	17	0	0	SPD	0.8	0.2	0.8	0.2	1.5	1.0	0.5	1.5	1.5	0	0	1	9.559999999999999	16.56	1	12	c	C	c	C
18	18	1	1	ACC	0.3	0.7	0.7	0.3	1.0	1.0	0.5	1.5	0.5	0	0	1	2.78	8.28	1	6	D	g	g	D
19	19	1	1	SPD	0.3	0.7	0.7	0.3	1.5	1.0	2.0	1.5	0.5	0	0	1	0.78	8.28	1	6	D	g	g	D
20	20	2	1	ACC	0.4	0.6	0.6	0.4	1.5	1.0	0.5	1.5	0.5	0	0	1	2.28	8.28	1	6	f	x	x	f
21	21	2	1	ACC	0.4	0.6	0.6	0.4	1.5	1.0	0.5	1.5	0.5	0	0	1	2.28	8.28	1	6	f	x	x	f
22	22	1	0	SPD	0.7	0.3	0.7	0.3	1.0	1.0	0.5	1.5	0.5	0	0	1	2.78	8.28	1	6	g	D	g	D
23	23	0	1	ACC	0.2	0.8	0.8	0.2	0.5	1.0	0.5	1.5	0.5	0	0	1	3.28	8.28	1	6	C	c	c	C
24	24	1	0	SPD	0.7	0.3	0.7	0.3	1.0	1.0	1.5	1.5	0.5	0	0	1	1.78	8.28	1	6	g	D	g	D
25	25	0	1	SPD	0.2	0.8	0.8	0.2	0.5	1.0	1.5	1.5	0.5	0	0	1	2.28	8.28	1	6	C	c	c	C
26	26	2	1	SPD	0.4	0.6	0.6	0.4	1.0	1.0	1.0	1.5	1.0	0	0	1	1.78	8.28	1	6	f	x	x	f
27	27	2	0	SPD	0.6	0.4	0.6	0.4	0.5	1.0	1.5	1.5	1.0	0	0	1	1.78	8.28	1	6	x	f	x	f
28	28	1	1	ACC	0.3	0.7	0.7	0.3	0.5	1.0	0.5	1.5	2.0	0	0	1	1.78	8.28	1	6	D	g	g	D
29	29	1	1	SPD	0.3	0.7	0.7	0.3	1.0	1.0	0.5	1.5	1.0	0	0	1	10.559999999999999	16.56	1	12	D	g	g	D
30	30	2	1	SPD	0.4	0.6	0.6	0.4	0.5	1.0	1.0	1.5	0.5	0	0	1	2.78	8.28	1	6	f	x	x	f
31	31	0	1	ACC	0.2	0.8	0.8	0.2	1.5	1.0	1.0	1.5	0.5	0	0	1	1.78	8.28	1	6	C	c	c	C
32	32	2	0	ACC	0.6	0.4	0.6	0.4	0.5	1.0	1.0	1.5	0.5	0	0	1	2.78	8.28	1	6	x	f	x	f
33	33	2	0	SPD	0.6	0.4	0.6	0.4	0.5	1.0	0.5	1.5	0.5	0	0	1	3.28	8.28	1	6	x	f	x	f
34	34	0	0	ACC	0.8	0.2	0.8	0.2	1.0	1.0	1.0	1.5	0.5	0	0	1	2.28	8.28	1	6	c	C	c	C
35	35	0	0	SPD	0.8	0.2	0.8	0.2	0.5	1.0	1.0	1.5	1.0	0	0	1	2.28	8.28	1	6	c	C	c	C
36	36	2	0	ACC	0.6	0.4	0.6	0.4	2.0	1.0	1.0	1.5	0.5	0	0	1	1.28	8.28	1	6	x	f	x	f
37	37	0	0	SPD	0.8	0.2	0.8	0.2	1.0	1.0	0.5	1.5	1.0	0	0	1	2.28	8.28	1	6	c	C	c	C
38	38	1	0	SPD	0.7	0.3	0.7	0.3	0.5	1.0	2.0	1.5	0.5	0	0	1	10.059999999999999	16.56	1	12	g	D	g	D
